Model,MediaBias,Case,Count
Qwen2.5-3B-IT,left,confirmation,97
Qwen2.5-3B-IT,left,neutral,4146
Qwen2.5-3B-IT,left,reversal,82
Qwen2.5-3B-IT,right,amplify,179
Qwen2.5-3B-IT,right,confirmation,4231
Qwen2.5-3B-IT,right,neutral,35
Qwen2.5-3B-IT,right,reversal,55
Qwen2.5-72B-Base,center,neutral,3275
Qwen2.5-72B-Base,center,reversal,1225
Qwen2.5-72B-Base,lean_left,amplify,416
Qwen2.5-72B-Base,lean_left,confirmation,899
Qwen2.5-72B-Base,lean_left,neutral,2544
Qwen2.5-72B-Base,lean_left,reversal,641
Qwen2.5-72B-Base,lean_right,amplify,1493
Qwen2.5-72B-Base,lean_right,confirmation,709
Qwen2.5-72B-Base,lean_right,neutral,2001
Qwen2.5-72B-Base,lean_right,reversal,297
Qwen2.5-72B-Base,left,amplify,722
Qwen2.5-72B-Base,left,confirmation,869
Qwen2.5-72B-Base,left,neutral,2254
Qwen2.5-72B-Base,left,reversal,655
Qwen2.5-72B-Base,right,amplify,3089
Qwen2.5-72B-Base,right,confirmation,689
Qwen2.5-72B-Base,right,neutral,552
Qwen2.5-72B-Base,right,reversal,170
Qwen2.5-72B-IT,center,neutral,3424
Qwen2.5-72B-IT,center,reversal,977
Qwen2.5-72B-IT,lean_left,amplify,873
Qwen2.5-72B-IT,lean_left,confirmation,929
Qwen2.5-72B-IT,lean_left,neutral,2385
Qwen2.5-72B-IT,lean_left,reversal,214
Qwen2.5-72B-IT,lean_right,amplify,2241
Qwen2.5-72B-IT,lean_right,confirmation,1723
Qwen2.5-72B-IT,lean_right,neutral,436
Qwen2.5-72B-IT,lean_right,reversal,1
Qwen2.5-72B-IT,left,amplify,2045
Qwen2.5-72B-IT,left,confirmation,839
Qwen2.5-72B-IT,left,neutral,1217
Qwen2.5-72B-IT,left,reversal,300
Qwen2.5-72B-IT,right,amplify,2524
Qwen2.5-72B-IT,right,confirmation,1723
Qwen2.5-72B-IT,right,neutral,154
Qwen2.5-72B-IT-HP,center,neutral,1052
Qwen2.5-72B-IT-HP,center,reversal,221
Qwen2.5-72B-IT-HP,lean_left,amplify,164
Qwen2.5-72B-IT-HP,lean_left,confirmation,353
Qwen2.5-72B-IT-HP,lean_left,neutral,700
Qwen2.5-72B-IT-HP,lean_left,reversal,56
Qwen2.5-72B-IT-HP,lean_right,amplify,549
Qwen2.5-72B-IT-HP,lean_right,confirmation,561
Qwen2.5-72B-IT-HP,lean_right,neutral,160
Qwen2.5-72B-IT-HP,lean_right,reversal,3
Qwen2.5-72B-IT-HP,left,amplify,371
Qwen2.5-72B-IT-HP,left,confirmation,340
Qwen2.5-72B-IT-HP,left,neutral,495
Qwen2.5-72B-IT-HP,left,reversal,67
Qwen2.5-72B-IT-HP,right,amplify,639
Qwen2.5-72B-IT-HP,right,confirmation,561
Qwen2.5-72B-IT-HP,right,neutral,73
Qwen2.5-7B-Base,center,neutral,3658
Qwen2.5-7B-Base,center,reversal,842
Qwen2.5-7B-Base,lean_left,amplify,303
Qwen2.5-7B-Base,lean_left,confirmation,2837
Qwen2.5-7B-Base,lean_left,neutral,801
Qwen2.5-7B-Base,lean_left,reversal,559
Qwen2.5-7B-Base,lean_right,amplify,682
Qwen2.5-7B-Base,lean_right,neutral,3595
Qwen2.5-7B-Base,lean_right,reversal,223
Qwen2.5-7B-Base,left,amplify,462
Qwen2.5-7B-Base,left,confirmation,3012
Qwen2.5-7B-Base,left,neutral,642
Qwen2.5-7B-Base,left,reversal,384
Qwen2.5-7B-Base,right,amplify,1110
Qwen2.5-7B-Base,right,neutral,3206
Qwen2.5-7B-Base,right,reversal,184
Qwen2.5-7B-IT,center,neutral,3573
Qwen2.5-7B-IT,center,reversal,927
Qwen2.5-7B-IT,lean_left,amplify,625
Qwen2.5-7B-IT,lean_left,confirmation,2712
Qwen2.5-7B-IT,lean_left,neutral,853
Qwen2.5-7B-IT,lean_left,reversal,310
Qwen2.5-7B-IT,lean_right,amplify,718
Qwen2.5-7B-IT,lean_right,confirmation,709
Qwen2.5-7B-IT,lean_right,neutral,2928
Qwen2.5-7B-IT,lean_right,reversal,145
Qwen2.5-7B-IT,left,amplify,944
Qwen2.5-7B-IT,left,confirmation,2716
Qwen2.5-7B-IT,left,neutral,541
Qwen2.5-7B-IT,left,reversal,299
Qwen2.5-7B-IT,right,amplify,2005
Qwen2.5-7B-IT,right,confirmation,790
Qwen2.5-7B-IT,right,neutral,1644
Qwen2.5-7B-IT,right,reversal,61
